               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097026,            0.028694,                   0,                   0,                   0,                   0,                   0,            0.081113,            0.028459,                   0,            0.070833,           0.0032407,           0.0032407
                   1,             0.07677,            0.028305,                   0,            0.061433,             0.27193,             0.05002,            0.012831,            0.077799,            0.020568,                   0,            0.040703,           0.0064439,           0.0064439
                   2,             0.06618,            0.023271,                   0,             0.16032,             0.36257,             0.11433,            0.025506,            0.057329,            0.024113,                   0,            0.010441,           0.0095151,           0.0095151
                   3,            0.058899,            0.019881,                   0,             0.61355,             0.77991,             0.69787,              0.2356,            0.050787,            0.016791,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.048768,            0.019356,                   0,             0.50737,             0.85225,             0.52502,             0.15152,            0.042606,            0.016827,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.044726,            0.017497,                   0,              0.4557,             0.73977,             0.50874,             0.16468,            0.037588,            0.017902,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.042108,            0.017982,                   0,             0.68766,             0.87552,              0.8372,              0.2605,            0.040816,            0.015576,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.03838,            0.016462,                   0,             0.76968,             0.94444,             0.82231,             0.31863,            0.031197,            0.014287,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.036081,            0.015817,                   0,             0.72091,             0.95614,              0.8868,             0.40147,            0.032087,            0.013531,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.031997,             0.01524,                   0,             0.99702,             0.97917,             0.98301,             0.57092,            0.023388,            0.013339,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.030085,            0.015385,                   0,             0.99673,             0.97661,             0.98391,              0.5249,            0.026877,            0.013016,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.03093,            0.014206,                   0,             0.99412,             0.98805,             0.99362,             0.57352,            0.026346,            0.012067,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.031344,            0.013359,                   0,             0.99337,             0.99123,              0.9939,             0.68724,            0.019123,            0.011487,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.02848,            0.013445,                   0,             0.99657,             0.97661,              0.9933,             0.64599,            0.027524,            0.010903,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.028719,            0.013574,                   0,              0.9901,              0.9883,              0.9939,             0.57735,             0.02134,            0.011653,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.028408,            0.013316,                   0,             0.98791,             0.99415,             0.99441,             0.68259,            0.022637,            0.010581,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.029431,            0.013184,                   0,             0.99123,             0.99136,             0.99461,             0.70631,            0.018365,             0.01032,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.025503,            0.012686,                   0,             0.99114,             0.98076,             0.99412,             0.69562,            0.017737,            0.010837,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.026184,            0.012376,                   0,             0.99706,             0.99106,             0.99447,             0.65637,             0.01961,            0.011455,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.027167,            0.012179,                   0,               0.993,              0.9883,             0.99423,             0.70185,            0.016707,            0.010517,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.026326,            0.011833,                   0,             0.99411,             0.98782,             0.99402,             0.70974,            0.017219,            0.010758,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.023038,            0.012223,                   0,             0.99352,             0.99415,             0.99417,             0.73368,            0.019031,            0.010399,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.026702,            0.011943,                   0,             0.99367,             0.99415,             0.99405,             0.72671,            0.020539,           0.0098273,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.022684,            0.012356,                   0,             0.99383,             0.99415,             0.99441,              0.7273,            0.017992,           0.0093782,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.028094,            0.011822,                   0,             0.99362,             0.99415,             0.99438,             0.73374,            0.016911,           0.0092443,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.024335,            0.011625,                   0,             0.99373,             0.99415,             0.99447,             0.71156,            0.017818,           0.0094378,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.025147,            0.011583,                   0,             0.99395,             0.99415,             0.99434,             0.70947,            0.017662,            0.010229,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.021847,            0.011997,                   0,             0.99406,             0.99415,             0.99449,             0.69837,            0.017962,            0.010662,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.024026,            0.011029,                   0,             0.99415,             0.99412,             0.99461,             0.70956,            0.016465,            0.010167,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.021955,            0.010814,                   0,             0.99385,             0.99415,             0.99434,             0.71043,            0.015508,           0.0099574,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.021865,            0.011106,                   0,             0.99415,             0.99405,             0.99473,             0.73732,             0.01519,           0.0097988,                   0,            0.004258,            0.004258,            0.004258
                  31,             0.02202,            0.011372,                   0,             0.99125,              0.9937,             0.99473,             0.74768,            0.014007,           0.0096076,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.01948,            0.011135,                   0,             0.99376,             0.99415,              0.9947,             0.76187,            0.015364,           0.0093481,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.020597,            0.010967,                   0,             0.99385,             0.99415,             0.99449,             0.72497,            0.014855,           0.0095894,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.018937,            0.010676,                   0,             0.99673,             0.99708,             0.99468,             0.74733,            0.014035,           0.0092331,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.017979,            0.010342,                   0,             0.99697,             0.99708,             0.99477,             0.76783,            0.013146,           0.0088477,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.021435,            0.010831,                   0,             0.99386,             0.99415,             0.99461,              0.7724,            0.013421,           0.0090347,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.022745,            0.010915,                   0,             0.99391,             0.99415,             0.99455,             0.76411,             0.01405,           0.0090981,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.019966,            0.010681,                   0,             0.99401,             0.99415,             0.99426,             0.76761,            0.012926,           0.0090306,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.018668,            0.010804,                   0,             0.99708,             0.99692,             0.99433,             0.75065,            0.013271,           0.0089792,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.019044,            0.010396,                   0,             0.99708,             0.99693,             0.99439,             0.76527,            0.012122,           0.0088566,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.017376,            0.010159,                   0,             0.99413,             0.99415,             0.99426,             0.76772,            0.012044,           0.0088301,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.016661,            0.010591,                   0,             0.99675,             0.99708,             0.99436,             0.76332,            0.012005,           0.0088234,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.018392,            0.010726,                   0,             0.99677,             0.99708,             0.99444,             0.74447,            0.012637,           0.0089568,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.017431,            0.010454,                   0,             0.99678,             0.99708,             0.99427,             0.75775,            0.012384,           0.0088084,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.01815,            0.010632,                   0,             0.99679,             0.99708,             0.99421,             0.75865,            0.012389,           0.0086771,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.01795,            0.010472,                   0,             0.99678,             0.99708,             0.99412,             0.75609,            0.012203,           0.0086873,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.017498,            0.010394,                   0,             0.99674,             0.99708,             0.99421,             0.76132,             0.01216,           0.0086585,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.01658,            0.010044,                   0,             0.99673,             0.99708,             0.99415,             0.76757,            0.011637,           0.0085286,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.014713,            0.010044,                   0,             0.99675,             0.99708,             0.99409,             0.76163,            0.011852,           0.0084343,                   0,            0.000496,            0.000496,            0.000496
